0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-1	0	0
-0.361	0.933	0
0.255	0.565	0.785
-0.861	-0.464	0.21
0.307	-0.766	0.564
0.736	0.013	0.677
-0.532	0.343	0.774
-0.177	0.965	0.195
-0.771	0.163	0.615
-0.079	-0.996	-0.036
-0.109	-0.92	-0.376
-0.302	-0.779	-0.549
0.464	-0.46	0.757
0.464	0.839	0.284
0.529	0.014	-0.849
0.825	-0.54	-0.167
-0.697	-0.287	-0.657
-0.479	-0.338	-0.81
0.213	-0.851	-0.48
0.648	0.736	-0.195
-0.58	0.745	0.33
0.729	0.197	-0.656
-0.963	-0.264	0.054
-0.229	0.507	0.831
0.016	0.171	-0.985
-0.359	-0.932	0.051
-0.806	-0.422	-0.415
0.045	0.087	0.995
0.177	0.841	-0.511
-0.946	0.315	-0.068
0.318	0.257	-0.912
0.312	0.165	0.936
0.284	-0.2	-0.938
0.421	-0.093	0.902
0.963	-0.02	0.271
0.881	0.161	0.444
-0.758	-0.45	0.471
0.684	0.72	0.121
-0.932	0.229	0.281
0.648	-0.252	0.719
-0.773	0.61	-0.174
-0.276	-0.533	0.8
0.555	0.591	0.586
-0.007	0.715	0.699
-0.919	-0.07	0.388
0.223	-0.589	0.777
0.544	-0.73	0.414
-0.867	-0.477	-0.145
-0.534	-0.554	0.639
0.001	0.726	-0.688
0.611	-0.791	-0.027
-0.691	0.503	-0.519
-0.731	0.475	0.489
-0.024	-0.38	-0.925
-0.453	0.646	0.615
-0.432	-0.82	0.376
0.87	-0.289	0.399
-0.283	0.912	-0.298
-0.088	0.393	-0.915
0.016	-0.964	0.265
		
